folds,scores
2,0.46577707237612487
12,0.20957820430480453
22,0.19674140431569773
32,0.18788206117401673
42,0.17590518569107771
52,0.16815514815171792
62,0.16590546000787065
72,0.16121650454718472
82,0.15417040964756756
92,0.1521725698988896
102,0.15059239292471233
112,0.14519560629938974
122,0.14896602874684362
132,0.14571961957534282
142,0.1431344279060852
152,0.13915774449504706
162,0.13680212728618643
172,0.13401372122976762
182,0.13765445867221873
192,0.13691308272105526
202,0.13305700919367067
212,0.133827352104971
222,0.1299934118541986
232,0.1276806787354818
242,0.12387604486695765
252,0.12133954751210167
262,0.12042727023431311
272,0.11906608817037938
282,0.1166520146903457
292,0.11541909815152283
302,0.1171799714077377
312,0.11422431907420688
322,0.11226941724179981
332,0.1129727700614667
342,0.11603510956502937
352,0.11717163907157144
362,0.11647481593486142
372,0.11597434271470855
382,0.11591354515004255
