distance,springback,thickness,die_opening
5.00018,0.7443099999999996,2.5,40
20.0001,1.4375999999999998,2.5,40
5.00019,0.7043800000000005,2.5,40
15.0002,1.0744000000000007,2.5,40
5.00019,0.7042800000000007,2.5,40
10.0002,0.8767199999999988,2.5,40
20.0001,1.410899999999998,2.5,40
10.0001,0.9944499999999987,2.5,40
2.50017,0.5178099999999999,2.5,40
2.50014,0.6244299999999998,2.5,40
15.0002,1.1575000000000006,2.5,40
20.0001,1.3444000000000003,2.5,40
10.0001,0.8643000000000001,2.5,40
2.50014,0.73098,2.5,40
15.0001,1.1608999999999998,2.5,40
2.50019,0.6244300000000003,2.5,40
