folds,scores
2,0.3218624814468127
12,0.24103619416368027
22,0.2411033945063356
32,0.19718565494199675
42,0.17390149828755133
52,0.17795316160201594
62,0.16856511392718782
72,0.16242325788286419
82,0.16138398998609618
92,0.15261584581058216
102,0.1504485547141939
112,0.15072624738868315
122,0.1433345191165247
132,0.13982379160158742
142,0.14407773779672228
152,0.14003578181994683
162,0.1345114334709053
172,0.13386681551489607
182,0.13994258530962653
192,0.13633065445341352
202,0.13271132982954248
212,0.13015108673479844
222,0.13466281575246128
232,0.12869225908716714
242,0.12767324812199213
252,0.12485608504994902
262,0.1199130504331691
272,0.12050451889301336
282,0.11971389251358296
292,0.12035531518142722
302,0.12047332425414851
312,0.11530648573789368
322,0.1114764298517539
332,0.11258909234797877
342,0.11161826126768809
352,0.11787019127509729
362,0.11493760255640813
372,0.11690317024886744
382,0.1156096021647081
