noise,rmse,mse,mae
0.09090909090909091,0.25862847774974224,0.06688868950314893,0.22438926527373562
0.18181818181818182,0.29507498828080936,0.08706924870891977,0.26062561911940596
0.2727272727272727,0.2553477665566312,0.06520248188545984,0.22290325472836306
0.36363636363636365,0.23204632364827327,0.05384549631867919,0.19989094836293628
0.45454545454545453,0.3268298655806962,0.10681776103549596,0.2624238238423029
0.5454545454545454,0.24102720671578567,0.058094114377214075,0.20726442117448435
0.6363636363636364,0.2557459765384276,0.06540600451559397,0.21976776869948988
0.7272727272727273,0.2811497658073958,0.0790451908135535,0.2239359429119234
0.8181818181818182,0.2865486775500926,0.08211014460570694,0.25411783438356295
0.9090909090909091,0.2822013691016595,0.07963761272285105,0.22506005131980095
