distance,springback,thickness,die_opening
10.0001,1.0576299999999996,1.5,50
5.00013,0.9376199999999999,1.5,50
2.50009,0.8824000000000001,1.5,50
10.0001,1.057599999999999,1.5,50
20.0001,1.6342999999999996,1.5,50
10.0001,1.0575600000000005,1.5,50
15.0001,1.3241999999999994,1.5,50
15.0001,1.3091000000000008,1.5,50
20.0001,1.697499999999998,1.5,50
5.00013,0.9775900000000002,1.5,50
20.0001,1.6290000000000013,1.5,50
2.50014,0.9242400000000002,1.5,50
5.00014,0.97757,1.5,50
2.50012,0.9375,1.5,50
2.50016,2.49789669,1.5,50
15.0001,1.311,1.5,50
