distance,springback,thickness,die_opening
5.0,0.687,2,20
5.0,0.594,2,20
5.0,0.621,2,20
10.0,0.568,2,20
10.0,0.754,2,20
10.0,0.565,2,20
15.0,1.045,2,20
15.0,0.887,2,20
15.0,0.887,2,20
20.0,1.501,2,20
20.0,1.62,2,20
20.0,1.794,2,20
