distance,springback
20.0001,1.9414000000000016
7.50009,0.5869799999999996
15.0001,1.0581999999999994
7.50008,0.5044300000000002
10.0001,0.6250800000000005
2.50011,0.45466000000000006
5.00012,0.4423899999999996
20.0001,1.9414000000000016
10.0001,0.6250599999999995
5.00015,0.4430500000000004
17.5001,1.4873000000000012
2.50008,0.4048599999999998
12.5001,0.8041
7.50008,0.5205500000000001
2.50004,0.4213899999999997
10.0001,0.6383399999999995
15.0001,1.1249000000000002
17.5001,1.470600000000001
17.5001,1.4373000000000005
20.0001,1.9582000000000015
12.5001,0.7873000000000001
5.00009,0.4394999999999998
15.0001,1.0581999999999994
12.5,0.8039000000000005
