distance,springback,thickness,die_opening
15.0001,2.450899999999999,0.5,40
20.0001,2.397500000000001,0.5,40
2.50019,1.37084,0.5,40
10.0002,1.55748,0.5,40
10.0002,1.7709499999999991,0.5,40
20.0001,3.424199999999999,0.5,40
2.50017,1.3832,0.5,40
5.00014,1.51755,0.5,40
2.50018,1.33097,0.5,40
15.0001,2.0908999999999995,0.5,40
5.00014,1.6109299999999998,0.5,40
15.0001,0.9176000000000002,2.0,40
20.0001,1.3842,2.0,40
2.50017,0.5844,2.0,40
20.0001,1.2908000000000008,2.0,40
15.0001,0.9300999999999996,2.0,40
5.00015,0.5843799999999995,2.0,40
5.00015,0.6242600000000005,2.0,40
15.0001,0.9308999999999994,2.0,40
20.0001,1.6767000000000003,2.0,40
2.50019,0.611,2.0,40
10.0002,0.6776900000000001,2.0,40
10.0001,0.7442799999999998,2.0,40
5.00014,0.89093,2.0,40
10.0002,0.7209699999999994,2.0,40
20.0001,1.2908000000000008,2.0,40
2.5,0.638,2.5,30
2.5,0.571,2.5,30
5.0,0.632,2.5,30
5.0,0.561,2.5,30
7.5,0.832,2.5,30
7.5,0.592,2.5,30
7.5,0.612,2.5,30
10.0,0.662,2.5,30
10.0,0.672,2.5,30
10.0,0.661,2.5,30
12.5,0.789,2.5,30
12.5,0.892,2.5,30
15.0,0.922,2.5,30
15.0,1.022,2.5,30
15.0,0.912,2.5,30
17.5,1.142,2.5,30
17.5,1.134,2.5,30
17.5,1.062,2.5,30
20.0,1.262,2.5,30
20.0,1.342,2.5,30
20.0,1.292,2.5,30
2.5,0.554,2.5,30
2.5,0.634,2.5,30
2.5,0.594,2.5,30
5.0,0.621,2.5,30
5.0,0.66,2.5,30
5.0,0.568,2.5,30
10.0,0.648,2.5,30
10.0,0.754,2.5,30
10.0,0.74,2.5,30
15.0,0.941,2.5,30
15.0,0.968,2.5,30
15.0,0.981,2.5,30
20.0,1.341,2.5,30
20.0,1.314,2.5,30
20.0,1.288,2.5,30
2.5,0.728,1.0,30
2.5,0.568,1.0,30
2.5,0.594,1.0,30
5.0,1.038,1.0,30
5.0,0.664,1.0,30
10.0,1.024,1.0,30
10.0,1.144,1.0,30
10.0,0.878,1.0,30
15.0,1.184,1.0,30
15.0,1.104,1.0,30
15.0,1.184,1.0,30
20.0,1.714,1.0,30
20.0,1.808,1.0,30
20.0,1.754,1.0,30
2.5,0.406,3.0,30
2.5,0.514,3.0,30
2.5,0.475,3.0,30
5.0,0.447,3.0,30
5.0,0.461,3.0,30
5.0,0.541,3.0,30
10.0,0.645,3.0,30
10.0,0.594,3.0,30
10.0,0.554,3.0,30
15.0,0.781,3.0,30
15.0,0.754,3.0,30
15.0,0.781,3.0,30
20.0,1.152,3.0,30
20.0,1.047,3.0,30
20.0,1.181,3.0,30
20.0,1.021,3.0,30
2.5,1.034,0.5,30
2.5,1.237,0.5,30
2.5,0.994,0.5,30
5.0,1.234,0.5,30
5.0,1.101,0.5,30
7.5,1.314,0.5,30
7.5,1.341,0.5,30
7.5,1.288,0.5,30
10.0,1.487,0.5,30
10.0,1.567,0.5,30
10.0,1.528,0.5,30
12.5,1.632,0.5,30
12.5,1.848,0.5,30
12.5,1.741,0.5,30
15.0,1.994,0.5,30
15.0,1.925,0.5,30
15.0,2.168,0.5,30
17.5,2.648,0.5,30
17.5,2.741,0.5,30
5.0,0.527,2.0,30
5.0,0.488,2.0,30
5.0,0.474,2.0,30
10.0,0.648,2.0,30
10.0,0.621,2.0,30
10.0,0.687,2.0,30
15.0,0.941,2.0,30
15.0,0.781,2.0,30
15.0,0.941,2.0,30
20.0,1.287,2.0,30
20.0,1.207,2.0,30
20.0,1.247,2.0,30
2.5,1.194,1.5,30
2.5,0.688,1.5,30
2.5,0.528,1.5,30
5.0,0.754,1.5,30
5.0,0.621,1.5,30
5.0,0.568,1.5,30
10.0,0.754,1.5,30
10.0,0.674,1.5,30
10.0,0.674,1.5,30
15.0,1.474,1.5,30
15.0,0.941,1.5,30
15.0,0.914,1.5,30
20.0,1.434,1.5,30
20.0,1.394,1.5,30
20.0,1.407,1.5,30
