distance,springback,thickness,die_opening
10.0002,1.2108600000000003,3,40
10.0001,1.17009,3,40
5.00016,0.8344700000000005,3,40
15.0001,1.1974999999999998,3,40
5.00018,0.9033800000000003,3,40
2.50017,2.4372227,3,40
20.0001,1.0642999999999994,3,40
15.0001,1.3308999999999997,3,40
20.0001,1.1544999999999987,3,40
2.50017,0.5178400000000001,3,40
20.0001,1.0641999999999996,3,40
15.0001,1.1975999999999996,3,40
5.00018,0.7841399999999998,3,40
2.50016,0.46460999999999997,3,40
10.0001,1.101140000000001,3,40
