name,train,test,val
DT,0.2332461416317732,0.2212903172847431,0.2765906953650109
LR,0.3693201074087232,0.3033587917547741,0.4001636292027017
RF,0.1218051008442688,0.2388825410399445,0.1750280829201411
SVM,0.230910195111895,0.1947965628741157,0.2342711813873618
ET,0.1949961901785832,0.1767085915510451,0.1525240155222781
