folds,mean_rmse
2,0.32928790967992183
12,0.23007716894929486
22,0.2318020700441696
32,0.19202940452220324
42,0.17916138477126747
52,0.17769761130274558
62,0.16968380322623655
72,0.16544648639489995
82,0.15889046551994299
92,0.1554010193785408
102,0.1587970534590502
112,0.14707473340325036
122,0.14323157622340973
132,0.148005020725125
142,0.14453676236798696
152,0.14102698894557006
162,0.1366601369900379
172,0.13706083153572995
182,0.13647373944531582
192,0.13122814986429918
202,0.13032491356743722
212,0.13643163352457582
222,0.1339510903247198
232,0.12784800088402493
242,0.12857978922399865
252,0.12436594257739819
262,0.1251186900164904
272,0.12070370641846748
282,0.11906347210154876
292,0.11459173407473516
302,0.12206041835040055
312,0.11826977979240517
322,0.11441789939972857
332,0.11346143690244669
342,0.11300256439621548
352,0.11740415476144506
362,0.1160180538488929
372,0.11974194085350563
382,0.11251675430189538
