die_opening,distance,thickness,mean_springback
20,2.5,1.0,0.7166666666666667
20,2.5,0.5,1.287
20,7.5,0.5,0.9526666666666667
20,7.5,3.0,0.519
20,15.0,0.5,1.8010000000000002
20,20.0,1.5,1.5523333333333333
20,2.5,1.0,0.7166666666666667
20,2.5,3.0,0.38566666666666666
20,12.5,0.5,1.3373333333333335
20,10.0,3.0,0.5456666666666666
20,20.0,2.0,1.6383333333333334
20,2.5,0.5,1.287
20,2.5,1.0,0.7166666666666667
20,20.0,1.0,1.9693333333333334
20,7.5,1.0,0.5486666666666667
20,7.5,0.5,0.9526666666666667
20,2.5,1.0,0.7166666666666667
20,12.5,0.5,1.3373333333333335
20,10.0,0.5,1.1315
20,2.5,0.5,1.287
20,20.0,1.0,1.9693333333333334
20,5.0,1.0,0.44133333333333336
20,2.5,3.0,0.38566666666666666
20,7.5,1.0,0.5486666666666667
20,10.0,2.0,0.629
20,5.0,1.0,0.44133333333333336
20,2.5,0.5,1.287
20,10.0,0.5,1.1315
30,15.0,2.5,0.9576666666666668
30,2.5,1.0,0.63
30,15.0,1.0,1.1573333333333335
30,12.5,0.5,1.7403333333333333
30,2.5,1.0,0.63
30,17.5,2.5,1.1126666666666665
30,15.0,0.5,2.029
30,10.0,1.5,0.7006666666666668
30,2.5,1.5,0.8033333333333333
30,20.0,2.5,1.3065
30,5.0,0.5,1.1675
30,15.0,1.0,1.1573333333333335
30,20.0,1.5,1.4116666666666668
30,2.5,2.5,0.5982
30,5.0,2.5,0.6084
30,17.5,0.5,2.6945
30,17.5,2.5,1.1126666666666665
30,10.0,2.0,0.652
30,10.0,2.0,0.652
30,10.0,1.5,0.7006666666666668
30,2.5,2.5,0.5982
30,2.5,2.5,0.5982
30,15.0,1.0,1.1573333333333335
30,20.0,2.5,1.3065
30,10.0,2.5,0.6895000000000001
30,10.0,2.5,0.6895000000000001
30,5.0,0.5,1.1675
30,17.5,2.5,1.1126666666666665
30,5.0,3.0,0.48300000000000004
30,2.5,3.0,0.465
30,12.5,2.5,0.8405
30,20.0,2.0,1.247
30,17.5,2.5,1.1126666666666665
30,17.5,2.5,1.1126666666666665
30,5.0,2.5,0.6084
30,10.0,2.5,0.6895000000000001
30,15.0,1.0,1.1573333333333335
30,7.5,2.5,0.6786666666666666
30,2.5,2.5,0.5982
30,5.0,2.5,0.6084
30,2.5,0.5,1.0883333333333334
30,7.5,0.5,1.3143333333333336
30,15.0,1.0,1.1573333333333335
30,10.0,2.5,0.6895000000000001
30,5.0,0.5,1.1675
30,12.5,2.5,0.8405
30,10.0,1.0,1.0153333333333334
30,10.0,1.0,1.0153333333333334
30,15.0,2.5,0.9576666666666668
30,17.5,0.5,2.6945
30,20.0,2.5,1.3065
30,17.5,0.5,2.6945
30,10.0,3.0,0.5976666666666667
30,10.0,2.5,0.6895000000000001
30,10.0,2.5,0.6895000000000001
30,7.5,2.5,0.6786666666666666
30,20.0,2.5,1.3065
30,2.5,1.0,0.63
30,2.5,3.0,0.465
30,2.5,3.0,0.465
30,5.0,2.0,0.4963333333333333
30,2.5,1.5,0.8033333333333333
30,15.0,2.5,0.9576666666666668
