name,cv_score,variance,folds
MLP,-0.2104212445699768,2.459276045280768e-05,2
MLP,-0.2119791212945832,0.0001396067904864,3
MLP,-0.1856104319162001,0.0017237199786377,4
MLP,-0.1891042774096942,0.0016747606875555,5
MLP,-0.1809704643331919,0.0036674539192308,6
MLP,-0.1757831708276133,0.0046665541180492,7
MLP,-0.1753901861196905,0.0051071742924267,8
MLP,-0.1764277189953497,0.0053743607779091,9
ET,-0.2403200045242906,0.0002852453175857,2
ET,-0.2075795699653147,0.0012450740198202,3
ET,-0.2065829829101234,0.0012062954942504,4
ET,-0.2244132575954739,0.0009816451564748,5
ET,-0.2160081069696016,0.0021382410801916,6
ET,-0.1976912621983968,0.0043217762900508,7
ET,-0.2021483999218718,0.0049512091727101,8
ET,-0.2065448442142309,0.0049597849713101,9
SVM,-0.2354100110018936,5.057031880970869e-06,2
SVM,-0.2317796870050505,0.0006029778804279,3
SVM,-0.2270135405199425,0.0020761513691567,4
SVM,-0.2275052252127717,0.0023547173750693,5
SVM,-0.2253528242028923,0.0027547200727505,6
SVM,-0.2191289494274819,0.0069583180566128,7
SVM,-0.2188305328672814,0.0070298140640895,8
SVM,-0.2140156082982023,0.0088999700982748,9
SVM,-0.2159542032417137,0.0080398809946349,10
SVM,-0.2140707819821828,0.0088971890559586,11
SVM,-0.2129334329744873,0.008913335958104,12
SVM,-0.2133161202301849,0.0090853690413727,13
SVM,-0.2137734083307652,0.008514910858888,14
RF,-0.2405239439497275,2.9663411788101987e-05,2
RF,-0.236964882368314,6.396033409705745e-05,3
RF,-0.2251959011854479,0.0011509205461114,4
RF,-0.2131202442032803,0.0006589514728355,5
RF,-0.2096556206524391,0.0028398875899396,6
RF,-0.209441646274596,0.0047128892785316,7
RF,-0.2120590344486779,0.0039379205888622,8
RF,-0.2099687191796286,0.0061317271106143,9
RF,-0.2134765228194797,0.0057921103592862,10
RF,-0.2079323290635295,0.0060148742690225,11
RF,-0.2039337941706156,0.0074516461331358,12
RF,-0.2037071877956548,0.0057836218004307,13
RF,-0.21046285954376,0.0046769615364561,14
GBT,-0.21204424049594206,2.2824320388171872e-06,2
GBT,-0.22589507226638508,6.154793237520761e-06,3
GBT,-0.18974752469983674,0.0014730175444397427,4
GBT,-0.19798945583087366,0.0018299383763321802,5
GBT,-0.18324584672828204,0.0034013409693843,6
GBT,-0.1814330596396216,0.003844741411947987,7
GBT,-0.17978698853342262,0.004765436219574319,8
GBT,-0.17869176062026965,0.0048955429353531475,9
GBT,-0.17968575172914697,0.004671666053170164,10
GBT,-0.17571368299475104,0.006806849053804596,11
GBT,-0.17046364700014563,0.007303918892715366,12
GBT,-0.17059741014413687,0.007817410532338228,13
GBT,-0.17512618605928357,0.006385106102369722,14
