folds,mean_rmse
2,-0.4951142065314416
52,-0.19432712028912114
102,-0.1744462631805908
152,-0.16556648534863502
202,-0.1561222407934386
252,-0.14478284845954165
302,-0.13805698419422782
352,-0.1407649623816161
