name,mse_noisy,mse_clean,noise_level,rmse_noisey,rmse_clean
GBT,0.0489533452776528,0.0489533452776528,0.0,0.2212540288393701,0.22125402883937
GBT,0.2385213685512998,0.0489688390763421,0.1,0.4883864950541731,0.2212890396660941
GBT,0.3023404309567948,0.0489533452776528,0.2,0.5498549180982151,0.2212540288393701
GBT,0.3179918148334346,0.0489533452776528,0.3,0.5639076296996118,0.2212540288393701
GBT,0.3407535817287425,0.0489533452776528,0.4,0.5837410228249703,0.2212540288393701
GBT,0.3378971588688249,0.0489533452776528,0.5,0.5812892213595784,0.2212540288393701
GBT,0.3319337797930305,0.0489533452776528,0.6,0.5761369453463564,0.2212540288393701
GBT,0.3391254341989439,0.0489688390763421,0.7,0.5823447726209483,0.2212890396660941
GBT,0.3468698372574115,0.0489688390763421,0.8,0.5889565665288159,0.2212890396660941
GBT,0.3597253056802782,0.0489688390763421,0.9,0.5997710443830031,0.2212890396660941
GBT,0.3723300020561759,0.0489688390763421,1.0,0.6101884971516391,0.2212890396660941
SVM,0.0219697829025421,0.0219697829025421,0.0,0.1482220729262081,0.1482220729262081
SVM,0.354804810568326,0.0219697829025421,0.1,0.5956549425366384,0.1482220729262081
SVM,0.5004601484059816,0.0219697829025421,0.2,0.7074320804190192,0.1482220729262081
SVM,0.5693731716902568,0.0219697829025421,0.3,0.7545682021462717,0.1482220729262081
SVM,0.6513799609957409,0.0219697829025421,0.4,0.8070811365629487,0.1482220729262081
SVM,0.6834145575915547,0.0219697829025421,0.5,0.8266889122224603,0.1482220729262081
SVM,0.7109902189167245,0.0219697829025421,0.6,0.8432023594112652,0.1482220729262081
SVM,0.7934351995821558,0.0219697829025421,0.7,0.8907497962852171,0.1482220729262081
SVM,0.8043975315959121,0.0219697829025421,0.8,0.8968821168893446,0.1482220729262081
SVM,0.7896747433636635,0.0219697829025421,0.9,0.8886364517414663,0.1482220729262081
SVM,0.7938167145479814,0.0219697829025421,1.0,0.8909639243807694,0.1482220729262081
ET,0.0240673538839285,0.0245906514955357,0.0,0.1551365652705015,0.1568140666379637
ET,0.2004400079450438,0.0242387037250982,0.1,0.4477052690610686,0.1556878406462695
ET,0.2777741162264499,0.0264095366517857,0.2,0.5270428030306931,0.1625101124600733
ET,0.3320584942618619,0.0273850993784508,0.3,0.5762451685366758,0.1654844384782173
ET,0.3173039470571338,0.0248307006054017,0.4,0.5632973877599059,0.1575776018519186
ET,0.3332484453838358,0.0381548051065714,0.5,0.5772767493878789,0.195332550043692
ET,0.3275893941863419,0.0323518713920714,0.6,0.5723542558471475,0.1798662597378157
ET,0.3582905629281587,0.0277801601380893,0.7,0.5985737740063114,0.1666738135943655
ET,0.3525975879628187,0.0268659526847098,0.8,0.5937992825549882,0.1639083667318719
ET,0.346768173651177,0.0260596919803928,0.9,0.5888702519665746,0.1614301458228693
ET,0.3490268361495551,0.0373202435228214,1.0,0.5907849322296187,0.1931844805433951
MLP,0.0335265291118237,0.0335265291118237,0.0,0.1831025098457794,0.1831025098457794
MLP,0.396799800279921,0.0335265291118237,0.1,0.6299204713929537,0.1831025098457794
MLP,0.6149193367205853,0.0335265291118237,0.2,0.784167926352886,0.1831025098457794
MLP,0.7711350058337537,0.0335265291118237,0.3,0.878142930184918,0.1831025098457794
MLP,0.7185662592250545,0.0335265291118237,0.4,0.8476828765670888,0.1831025098457794
MLP,0.8796646274037999,0.0335265291118237,0.5,0.9379043807360108,0.1831025098457794
MLP,0.8519531560730547,0.0335265291118237,0.6,0.9230130855372825,0.1831025098457794
MLP,0.8837828002138625,0.0335265291118237,0.7,0.9400972291278508,0.1831025098457794
MLP,0.8340634540551387,0.0335265291118237,0.8,0.9132707452092936,0.1831025098457794
MLP,0.8407052266048953,0.0335265291118237,0.9,0.9168997909285918,0.1831025098457794
MLP,0.8420675015533352,0.0335265291118237,1.0,0.91764236037431,0.1831025098457794
RF,0.048863287095214314,0.05375781756544643,0.0,0.22105041754137067,0.23185732156963781
RF,0.2660013551346152,0.05717716237096874,0.1,0.515753192074092,0.23911746563345962
RF,0.305641754372134,0.05391230414796206,0.2,0.5528487626576856,0.23219023267132075
RF,0.3301255294741815,0.05837099715481475,0.3,0.5745655136485147,0.24160090470611809
RF,0.38679150123206774,0.05676984323054245,0.4,0.6219256396323178,0.23826422985950377
RF,0.4099308828156485,0.05224900452606251,0.5,0.6402584500150299,0.22858041150995967
RF,0.41786389372751787,0.045332511863928567,0.6,0.6464239272547991,0.21291432986985298
RF,0.4262963214508735,0.050091215508660726,0.7,0.652913716696834,0.22381066888926615
RF,0.4174860124877258,0.04979165477671429,0.8,0.6461315752133816,0.22314043734095865
RF,0.4279350561849468,0.04524250888236606,0.9,0.6541674527098905,0.21270286524249282
RF,0.4192570590419643,0.05662580329160493,1.0,0.6475006247425282,0.23796176855033863
